Nombre,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas
Lago Argentino,Santa Cruz,1435,500,150,"50°14'53""S 72°38'43""O"
Lago Viedma,Santa Cruz,1166,,,"49°37'27""S 72°29'42""O"
Lago Nahuel Huapi,Río Negro / Neuquén,540,464,157,"40°51'16""S 71°36'58""O"
Lago Musters,Chubut,427,39,20,"45°24'53""S 69°11'52""O"
Lago Cardiel,Santa Cruz,358,,49,"48°55'3""S 71°12'53""O"
Lago Epecuén,Buenos Aires,156,11,7,"37°7'45""S 62°51'53""O"
Lago Pellegrini,Río Negro,116,,,"38°42'25""S 67°58'23""O"
Lago Strobel,Santa Cruz,100,,,"48°25'58""S 71°11'25""O"
Lago Fontana,Chubut,84,,79,"44°55'17""S 71°29'45""O"
Lago Huechulafquen,Neuquén,84,,142,"39°46'28""S 71°30'32""O"
Lago Traful,Neuquén,78,,,"40°37'50""S 71°24'55""O"
Lago La Plata,Chubut,73,,,"44°51'33""S 71°49'12""O"
Lago Ghío,Santa Cruz,65,,,"47°17'18""S 71°31'49""O"
Lago Menéndez,Chubut,58,287,149,"42°41'28""S 71°51'45""O"
Lago Aluminé,Neuquén,58,165,64,"38°55'18""S 71°7'35""O"
Lago Lácar,Neuquén,53,277,166,"40°9'45""S 71°26'11""O"
Lago Yehuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,"54°24'43""S 67°42'55""O"
Lago Quiroga,Santa Cruz,47,,,"48°25'1""S 71°33'3""O"
Lago Puelo,Chubut,47,180,111,"42°9'3""S 71°38'59""O"
Lago Nansen,Santa Cruz,42,,,"47°58'44""S 72°21'11""O"
Lago Belgrano,Santa Cruz,42,,,"47°50'38""S 72°8'34""O"
Lago Futalaufquen,Chubut,42,168,101,"42°49'42""S 71°40'31""O"
Lago Posadas,Santa Cruz,41,,31,"47°29'40""S 71°49'55""O"
Lago Espejo,Neuquén,40,,,"40°40'33""S 71°42'40""O"
Lago Mascardi,Río Negro,39,218,111,"41°20'46""S 71°32'52""O"
Lago Chepelmut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,"54°23'42""S 67°35'36""O"
Lago Salitroso o Sucio,Santa Cruz,37,,,"47°30'0""S 71°36'48""O"
Lago Lolog,Neuquén,37,,,"40°2'10""S 71°32'11""O"
Lago Tar,Santa Cruz,30,,,"49°13'42""S 72°1'2""O"
Lago Tromen,Neuquén,29,,69,"39°31'33""S 71°26'52""O"
Lago Blanco,Chubut,28,,,"45°53'16""S 71°13'25""O"
Lago Quillén,Neuquén,26,,,"39°24'41""S 71°18'52""O"
Lago Asador o Guitarra,Santa Cruz,23,,,"47°51'45""S 71°28'13""O"
Lago Rivadavia,Chubut,23,147,104,"42°36'39""S 71°39'59""O"
Lago Moquehue,Neuquén,21,,,"38°54'16""S 71°16'26""O"
Lago Correntoso,Neuquén,20,,,"40°42'8""S 71°39'35""O"
Lago Río Chico,Chubut,20,,,"45°35'40""S 68°32'52""O"
Lago Quiroga Chico,Santa Cruz,20,,,"48°29'57""S 71°35'5""O"
Lago Epuyén,Chubut,17,148,92,"42°11'15""S 71°30'24""O"
Lago Gutiérrez,Río Negro,17,111,80,"41°12'28""S 71°25'13""O"
Lago Cholila,Chubut,17,108,49,"42°27'31""S 71°40'9""O"
Lago Paimún,Neuquén,16,,66,"39°43'27""S 71°35'2""O"
Lago Azara,Santa Cruz,16,,,"47°50'45""S 72°16'13""O"
Lago Burmeister,Santa Cruz,14,,,"47°57'20""S 72°12'9""O"
Lago Onelli,Santa Cruz,14,,,"50°6'30""S 73°20'59""O"
Lago Meliquina,Neuquén,14,,,"40°19'60""S 71°19'10""O"
Lago Perito Moreno,Río Negro,12,,,"41°3'58""S 71°32'28""O"
Lago Currhué,Neuquén,12,,,"39°50'24""S 71°30'27""O"
Lago Falkner,Neuquén,11,,,"40°29'6""S 71°28'33""O"
Lago Pico Nº 1,Chubut,10,,,"44°14'31""S 71°30'8""O"
Lago Río Bueno,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,"54°41'19""S 65°48'23""O"
Lago Rosario,Chubut,10,57,25,"43°15'36""S 71°20'48""O"
Lago Buenos Aires,Santa Cruz,843,,,"46°26'7""S 71°42'49""O"
Lago San Martín,Santa Cruz,537,,,"48°53'46""S 72°41'52""O"
Lago Fagnano,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,,81,"54°33'53""S 67°53'23""O"
Lago Pueyrredón,Santa Cruz,125,,,"47°21'24""S 71°55'51""O"
Lago General Vintter,Chubut,96,,,"43°55'52""S 71°32'5""O"
