top genre,artist type,year released,top year,bpm,artist
Dance Pop,Duo,2009,2010,140,3OH!3
Dance Pop,Duo,2010,2010,138,3OH!3
Pop Soul,Solo,2010,2010,95,Aloe Blacc
Atl Hip Hop,Solo,2010,2010,93,B.o.B
Atl Hip Hop,Solo,2010,2010,104,B.o.B
Atl Hip Hop,Solo,2010,2010,82,B.o.B
Dance Pop,Band/Group,2010,2010,128,Black Eyed Peas
Dance Pop,Band/Group,2009,2010,92,Black Eyed Peas
Dance Pop,Solo,2010,2010,146,Bruno Mars
Dance Pop,Solo,2010,2010,109,Bruno Mars
Pop Rap,Band/Group,2011,2010,85,Cali Swag District
Atl Hip Hop,Solo,2010,2010,127,CeeLo Green
Dance Pop,Solo,2011,2010,74,Chris Brown
Big Room,Solo,2009,2010,130,David Guetta
Big Room,Solo,2009,2010,130,David Guetta
Dance Pop,Solo,2010,2010,150,DJ Khaled
Canadian Hip Hop,Solo,2010,2010,100,Drake
Canadian Hip Hop,Solo,2010,2010,96,Drake
Disco House,Duo,2010,2010,128,Duck Sauce
Romanian House,Solo,2010,2010,127,Edward Maya
Lilith,Solo,2010,2010,133,Eliza Doolittle
Dance Pop,Solo,2010,2010,150,Ellie Goulding
Detroit Hip Hop,Solo,2010,2010,87,Eminem
Detroit Hip Hop,Solo,2010,2010,115,Eminem
Dance Pop,Solo,2010,2010,129,Enrique Iglesias
Dance Pop,Solo,2010,2010,126,Example
Asian American Hip Hop,Band/Group,2010,2010,125,Far East Movement
Dance Pop,Solo,2010,2010,128,Flo Rida
Dance Pop,Solo,2010,2010,128,INNA
Dance Pop,Solo,2009,2010,91,Iyaz
Dance Pop,Solo,2010,2010,144,Jason Derulo
Dance Pop,Solo,2010,2010,89,Jason Derulo
Dance Pop,Solo,2010,2010,110,Jason Derulo
Dance Pop,Solo,2009,2010,132,Jay Sean
Dance Pop,Solo,2009,2010,126,Jay Sean
East Coast Hip Hop,Solo,2009,2010,140,JAY-Z
Neo Mellow,Solo,2009,2010,97,John Mayer
Neo Mellow,Solo,2009,2010,115,John Mayer
Canadian Pop,Solo,2010,2010,65,Justin Bieber
Dance Pop,Solo,2012,2010,125,Katy Perry
Dance Pop,Solo,2010,2010,120,Katy Perry
Atl Hip Hop,Solo,2011,2010,125,Kelly Rowland
Dance Pop,Solo,2010,2010,120,Kesha
Dance Pop,Solo,2010,2010,120,Kesha
Dance Pop,Solo,2010,2010,125,Kesha
Dance Pop,Solo,2010,2010,120,Kesha
Reggae Fusion,Solo,2009,2010,76,K'NAAN
Idol,Solo,2009,2010,92,Kris Allen
Art Pop,Solo,2009,2010,119,Lady Gaga
Art Pop,Solo,2009,2010,122,Lady Gaga
Art Pop,Solo,2009,2010,99,Lady Gaga
Hip Hop,Solo,2010,2010,76,Lil Wayne
Atl Hip Hop,Solo,2010,2010,85,Ludacris
Atl Hip Hop,Solo,2010,2010,144,Ludacris
Pop,Band/Group,2010,2010,103,Maroon 5
Talent Show,Solo,2011,2010,82,Matt Cardle
Dance Pop,Solo,2010,2010,130,Mike Posner
Dance Pop,Solo,2010,2010,117,Miley Cyrus
Modern Alternative Rock,Band/Group,2010,2010,148,Neon Trees
Indietronica,Band/Group,2009,2010,180,Owl City
Grime,Duo,2010,2010,147,Plan B
Barbadian Pop,Solo,2010,2010,126,Rihanna
Barbadian Pop,Solo,2009,2010,174,Rihanna
Barbadian Pop,Solo,2010,2010,100,Rihanna
Barbadian Pop,Solo,2010,2010,156,Rihanna
Barbadian Pop,Solo,2009,2010,182,Rihanna
Art Pop,Solo,2010,2010,117,Robyn
Acoustic Pop,Solo,2010,2010,119,Sara Bareilles
Dance Pop,Band/Group,2017,2010,177,Scouting For Girls
Dance Pop,Solo,2020,2010,121,Sean Kingston
Dutch House,Solo,2009,2010,126,Sidney Samson
Belgian Pop,Solo,2010,2010,120,Stromae
Contemporary Country,Duo,2010,2010,84,Sugarland
Dance Pop,Band/Group,2010,2010,125,Swedish House Mafia
Dance Pop,Band/Group,2010,2010,125,Swedish House Mafia
Dance Pop,Solo,2010,2010,120,Taio Cruz
Dance Pop,Solo,2010,2010,122,Taio Cruz
Boy Band,Band/Group,2010,2010,101,Take That
Pop,Solo,2010,2010,142,Taylor Swift
Pop,Solo,2010,2010,121,Taylor Swift
Pop,Solo,2011,2010,158,Taylor Swift
Contemporary Country,Band/Group,2010,2010,131,The Band Perry
Celtic Rock,Band/Group,2011,2010,174,The Script
Boy Band,Band/Group,2010,2010,134,The Wanted
