Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
6/04/2022 19:46,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 19:38,Jynx,Grabación vista,The user with id 23 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,186.137.50.21
6/04/2022 19:38,Jynx,Actividad BigBlueButtonBN visualizada,The user with id 23 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.137.50.21
6/04/2022 19:38,Jynx,Actividad BigBlueButtonBN visualizada,The user with id 23 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.137.50.21
6/04/2022 19:17,Venomoth,Grabación vista,The user with id 25 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,200.127.94.64
6/04/2022 19:17,Venomoth,Actividad BigBlueButtonBN visualizada,The user with id 25 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,200.127.94.64
6/04/2022 17:57,Muk,Grabación vista,The user with id 89 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1648576898053 from the course id 1110.,190.19.116.37
6/04/2022 17:57,Muk,Actividad BigBlueButtonBN visualizada,The user with id 89 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.19.116.37
6/04/2022 17:04,Alakazam,Actividad BigBlueButtonBN visualizada,The user with id 34 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.17.2.248
6/04/2022 17:04,Alakazam,Actividad BigBlueButtonBN visualizada,The user with id 34 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.17.2.248
6/04/2022 16:31,Charmander,Actividad BigBlueButtonBN visualizada,The user with id 21 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.64.234
6/04/2022 16:31,Charmander,Actividad BigBlueButtonBN visualizada,The user with id 21 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,190.245.64.234
6/04/2022 16:11,Nidoking,Grabación vista,The user with id 108 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1648576898053 from the course id 1110.,191.84.224.178
6/04/2022 16:11,Nidoking,Actividad BigBlueButtonBN visualizada,The user with id 108 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.84.224.178
6/04/2022 15:31,Furret,Grabación vista,The user with id 93 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181.46.136.207
